0.0000 0.0000 0.0000  -0.12 -0.12 -0.06  -0.68  -0.96 10.68  -0.68 -0.96 10.68  38 60  
0.0000 0.0000 0.0000  0.12 -0.37 0.06  -0.65  -0.89 9.84  -0.65 -0.89 9.84  38 57  
0.0000 0.0000 0.0000  -0.06 0.00 -0.19  -0.64  -0.90 9.82  -0.64 -0.90 9.82  36 60  
360.0000 -3.6875 5.1250  -0.19 -0.12 -0.06  -0.66  -0.88 9.92  -0.66 -0.88 9.92  35 62  
360.0000 -3.6875 5.1250  0.00 0.12 0.06  -0.65  -0.88 9.87  -0.65 -0.88 9.87  35 62  
360.0000 -3.6875 5.1250  -0.06 -0.19 0.06  -0.65  -0.89 9.81  -0.65 -0.89 9.81  37 61  
360.0000 -3.6875 5.1250  -0.06 -0.12 -0.06  -0.66  -0.90 9.95  -0.66 -0.90 9.95  33 59  
360.0000 -3.6875 5.1250  -0.06 -0.06 -0.12  -0.64  -0.87 9.86  -0.64 -0.87 9.86  36 63  
359.9375 -3.6875 5.1250  -0.12 0.00 -0.19  -0.67  -0.87 9.89  -0.67 -0.87 9.89  38 61  
0.0000 -3.6875 5.1250  0.00 -0.19 -0.50  -0.65  -0.89 9.91  -0.66 -0.86 9.93  38 60  
0.0000 -3.6875 5.1250  -0.12 -0.06 -0.56  -0.65  -0.87 9.88  -0.65 -0.87 9.88  37 62  
0.0000 -3.6875 5.1250  0.06 -0.06 0.06  -0.65  -0.87 9.92  -0.65 -0.87 9.92  37 60  
0.0000 -3.6875 5.1250  -0.06 0.06 0.00  -0.64  -0.89 9.91  -0.64 -0.89 9.91  37 63  
0.0000 -3.6875 5.1250  0.06 0.12 -0.25  -0.65  -0.88 9.83  -0.65 -0.87 9.82  38 62  
0.0000 -3.6875 5.1250  0.00 -0.12 -0.37  -0.64  -0.87 9.93  -0.64 -0.87 9.93  33 61  
0.0000 -3.6875 5.1250  -0.12 0.00 -0.19  -0.63  -0.85 9.91  -0.63 -0.85 9.91  37 60  
0.0000 -3.6875 5.1250  -0.19 -0.19 -0.19  -0.66  -0.88 9.80  -0.66 -0.88 9.80  36 59  
0.0000 -3.6875 5.1250  -0.06 -0.25 -0.25  -0.65  -0.88 9.94  -0.65 -0.88 9.94  34 62  
0.0000 -3.6875 5.1250  0.06 -0.12 0.06  -0.62  -0.89 9.89  -0.64 -0.86 9.91  34 61  
0.0000 -3.6875 5.1250  0.00 0.00 -0.25  -0.64  -0.86 9.82  -0.64 -0.86 9.82  36 61  
0.0000 -3.6875 5.1250  -0.12 -0.06 0.12  -0.65  -0.87 9.93  -0.65 -0.87 9.93  34 60  
0.0000 -3.6875 5.1250  -0.06 0.12 0.19  -0.64  -0.86 9.84  -0.64 -0.86 9.84  35 62  
0.0000 -3.6875 5.1250  -0.19 0.06 0.19  -0.64  -0.89 9.94  -0.64 -0.88 9.83  37 59  
0.0000 -3.6875 5.1250  -0.12 0.44 0.00  -0.66  -0.88 9.92  -0.66 -0.88 9.92  38 59  
0.0000 -3.6875 5.1250  0.06 -0.06 0.31  -0.64  -0.88 9.86  -0.64 -0.88 9.86  38 60  
0.0000 -3.6875 5.1250  0.00 0.25 0.12  -0.66  -0.88 9.88  -0.66 -0.88 9.88  38 62  
0.0000 -3.6875 5.1250  -0.12 0.12 0.12  -0.65  -0.88 9.93  -0.65 -0.88 9.93  36 60  
0.0000 -3.6875 5.1250  -0.19 0.25 -0.25  -0.65  -0.87 9.84  -0.66 -0.87 9.88  35 62  
0.0000 -3.6875 5.1250  -0.06 0.00 -0.19  -0.64  -0.88 9.89  -0.64 -0.88 9.89  34 61  
0.0000 -3.6875 5.1250  0.06 -0.19 0.19  -0.63  -0.89 9.93  -0.63 -0.89 9.93  34 60  
0.0000 -3.6875 5.1250  -0.06 0.12 0.19  -0.65  -0.88 9.84  -0.65 -0.88 9.84  33 61  
0.0000 -3.6875 5.1250  -0.12 0.06 0.12  -0.66  -0.89 9.93  -0.64 -0.87 9.93  35 61  
0.0000 -3.6875 5.1250  0.06 0.00 0.12  -0.63  -0.87 9.91  -0.63 -0.87 9.91  37 62  
0.0000 -3.6875 5.1250  -0.12 -0.19 0.12  -0.63  -0.90 9.82  -0.63 -0.90 9.82  34 62  
0.0000 -3.6875 5.1250  0.06 -0.12 0.25  -0.67  -0.90 9.92  -0.67 -0.90 9.92  38 60  
0.0000 -3.6875 5.1250  0.12 -0.19 0.06  -0.64  -0.86 9.90  -0.64 -0.86 9.90  34 59  
0.0000 -3.6875 5.1250  -0.12 0.12 0.06  -0.65  -0.90 9.88  -0.65 -0.87 9.85  36 62  
0.0000 -3.6875 5.1250  0.19 0.00 0.06  -0.63  -0.87 9.93  -0.63 -0.87 9.93  34 61  
0.0000 -3.6875 5.1250  -0.06 -0.19 0.00  -0.65  -0.87 9.89  -0.65 -0.87 9.89  39 60  
0.0000 -3.6875 5.1250  0.06 0.19 0.06  -0.66  -0.88 9.94  -0.66 -0.88 9.94  35 58  
0.0000 -3.6875 5.1250  0.00 0.19 0.12  -0.66  -0.87 9.94  -0.65 -0.89 9.91  35 59  
0.0000 -3.6875 5.1250  0.06 0.00 0.12  -0.63  -0.87 9.86  -0.63 -0.87 9.86  35 62  
0.0000 -3.6875 5.1250  0.12 -0.31 0.00  -0.65  -0.88 9.94  -0.65 -0.88 9.94  38 62  
0.0000 -3.6875 5.1250  -0.12 0.06 0.06  -0.65  -0.87 9.92  -0.65 -0.87 9.92  34 61  
0.0000 -3.6875 5.1250  0.19 0.31 -0.06  -0.63  -0.89 9.82  -0.63 -0.88 9.87  37 63  
0.0000 -3.6875 5.1250  -0.06 0.25 0.00  -0.64  -0.89 9.91  -0.64 -0.89 9.91  35 62  
0.0000 -3.6875 5.1250  -0.12 0.25 0.06  -0.66  -0.89 9.91  -0.66 -0.89 9.91  36 61  
0.0000 -3.6875 5.1250  0.25 0.06 0.06  -0.64  -0.88 9.83  -0.64 -0.88 9.83  34 59  
0.0000 -3.6875 5.1250  0.00 0.19 0.00  -0.64  -0.88 9.93  -0.64 -0.88 9.93  35 59  
0.0000 -3.6875 5.1250  -0.12 -0.06 0.00  -0.64  -0.89 9.88  -0.64 -0.88 9.94  35 61  
0.0000 -3.6875 5.1250  0.06 0.31 0.00  -0.64  -0.88 9.84  -0.64 -0.88 9.84  34 59  
0.0000 -3.6875 5.1250  -0.12 0.12 0.06  -0.63  -0.87 9.97  -0.63 -0.87 9.97  33 61  
0.0000 -3.6875 5.1250  0.00 -0.06 0.06  -0.64  -0.88 9.89  -0.64 -0.88 9.89  36 59  
0.0000 -3.6875 5.1250  -0.19 -0.19 0.12  -0.64  -0.89 9.90  -0.62 -0.88 9.81  36 62  
0.0000 -3.6875 5.1250  -0.12 0.19 0.00  -0.64  -0.89 9.93  -0.64 -0.89 9.93  36 60  
0.0000 -3.6875 5.1250  0.00 0.06 0.06  -0.66  -0.89 9.88  -0.66 -0.89 9.88  37 60  
0.0000 -3.6875 5.1250  0.00 -0.06 0.06  -0.65  -0.89 9.89  -0.65 -0.89 9.89  38 59  
0.0000 -3.6875 5.1250  -0.06 -0.12 0.12  -0.62  -0.89 9.90  -0.62 -0.89 9.90  37 58  
0.0000 -3.6875 5.1250  0.06 -0.25 0.12  -0.65  -0.90 9.83  -0.63 -0.90 9.90  34 60  
0.0000 -3.6875 5.1250  -0.12 0.00 0.00  -0.62  -0.89 9.95  -0.62 -0.89 9.95  35 60  
0.0000 -3.6875 5.1250  0.12 -0.19 0.06  -0.65  -0.88 9.91  -0.65 -0.88 9.91  37 56  
0.0000 -3.6875 5.1250  0.00 0.19 0.00  -0.64  -0.88 9.82  -0.64 -0.88 9.82  35 60  
0.0000 -3.6875 5.1250  0.06 -0.12 0.06  -0.63  -0.87 9.92  -0.62 -0.87 9.94  37 61  
0.0000 -3.6875 5.1250  0.00 0.00 0.12  -0.65  -0.87 9.93  -0.65 -0.87 9.93  35 59  
0.0000 -3.6875 5.1250  0.00 0.00 -0.06  -0.63  -0.88 9.82  -0.63 -0.88 9.82  37 60  
0.0000 -3.6875 5.1250  0.00 -0.19 -0.06  -0.63  -0.88 9.95  -0.63 -0.88 9.95  34 62  
0.0000 -3.6875 5.1250  0.06 -0.06 0.12  -0.64  -0.87 9.87  -0.64 -0.87 9.87  36 64  
0.0000 -3.6875 5.1250  0.00 0.12 -0.06  -0.65  -0.90 9.94  -0.65 -0.89 9.83  35 63  
0.0000 -3.6875 5.1250  0.00 -0.12 0.00  -0.65  -0.87 9.92  -0.65 -0.87 9.92  36 61  
0.0000 -3.6875 5.1250  -0.12 -0.06 -0.06  -0.63  -0.88 9.87  -0.63 -0.88 9.87  39 61  
0.0000 -3.6875 5.1250  0.00 0.12 0.06  -0.63  -0.88 9.96  -0.63 -0.88 9.96  37 60  
0.0000 -3.6875 5.1250  -0.06 -0.06 0.06  -0.65  -0.90 9.93  -0.65 -0.90 9.93  35 64  
0.0000 -3.6875 5.1250  -0.12 0.06 -0.06  -0.62  -0.90 9.88  -0.62 -0.90 9.88  35 62  
0.0000 -3.6875 5.1250  -0.06 0.12 0.00  -0.65  -0.88 9.93  -0.65 -0.88 9.93  35 59  
0.0000 -3.6875 5.1250  0.00 0.00 0.06  -0.64  -0.85 9.94  -0.64 -0.85 9.94  34 60  
0.0000 -3.6875 5.1250  -0.25 0.12 0.00  -0.64  -0.87 9.84  -0.64 -0.87 9.84  34 62  
0.0000 -3.6875 5.1250  0.00 -0.19 -0.06  -0.64  -0.88 9.92  -0.64 -0.89 9.88  34 60  
0.0000 -3.6875 5.1250  -0.37 0.44 -0.06  -0.65  -0.86 9.91  -0.65 -0.86 9.91  36 62  
0.0000 -3.6875 5.1250  -0.06 -0.31 0.12  -0.66  -0.93 9.83  -0.66 -0.93 9.83  35 61  
0.0000 -3.6875 5.1250  -0.12 0.25 0.06  -0.60  -0.87 9.95  -0.60 -0.87 9.95  34 60  
359.9375 -3.7500 5.1250  -0.88 0.75 1.75  -0.55  -0.89 9.88  -0.56 -0.93 9.94  37 60  
359.8125 -3.8125 5.1250  -0.88 1.44 3.56  -0.73  -0.99 9.82  -0.73 -0.99 9.82  36 61  
359.8125 -3.8125 5.1250  -0.12 0.19 0.19  -0.65  -0.95 9.94  -0.65 -0.95 9.94  36 60  
359.8125 -3.8125 5.1250  -0.19 -0.63 1.50  -0.57  -0.96 9.86  -0.57 -0.96 9.86  38 61  
359.6250 -3.8125 5.1250  0.06 0.63 4.31  -0.70  -1.20 10.25  -0.70 -1.20 10.25  33 60  
